number of clusters = 110
Cluster 1 (67) : 
1: Input vars: 32-to-32C(0x5), 32-to-32C(0x5), const(0x80000002), and 1-to-32Z(0x0) 

3: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

7: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

32: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

42: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

54: Input vars: 32-to-32C(0x5), const(0x80000000), const(0x80000002), and 1-to-32Z(0x0) 

60: Input vars: 32-to-32C(0x0), const(0x80000001), const(0x80000002), and 1-to-32Z(0x0) 

64: Input vars: 32-to-32C(0x4), const(0x80000002), const(0x80000004), and 1-to-32Z(0x0) 

66: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

82: Input vars: 32-to-32C(0x0), const(0x80000001), const(0x80000002), and 1-to-32Z(0x0) 

97: Input vars: (0x5), const(0x0), const(0x2), and 1-to-32Z(0x0) 

99: Input vars: 32-to-32C(0x3), const(0x80000002), const(0x80000004), and 1-to-32Z(0x0) 

101: Input vars: const(0x80000002), const(0x80000002), 32-to-32C(0x7), and 1-to-32Z(0x0) 

115: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

118: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

124: Input vars: 32-to-1(0x1), const(0x1), const(0x0), and (0x0) 

138: Input vars: 32-to-1(0x0), const(0x1), const(0x0), and (0x0) 

154: Input vars: 32-to-32C(0x3), const(0x80000004), const(0x80000006), and 1-to-32Z(0x0) 

166: Input vars: 32-to-32C(0x3), const(0x80000024), const(0x80000026), and 1-to-32Z(0x0) 

170: Input vars: 32-to-1(0x3), const(0x1), const(0x0), and (0x0) 

183: Input vars: 32-to-32C(0x3), const(0x80000024), const(0x80000026), and 1-to-32Z(0x0) 

186: Input vars: 32-to-1(0x1), const(0x1), const(0x0), and (0x0) 

198: Input vars: 32-to-1(0x0), const(0x1), const(0x0), and (0x0) 

212: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

240: Input vars: 32-to-1(0x6), const(0x1), const(0x0), and (0x0) 

246: Input vars: const(0x80000002), const(0x80000001), 32-to-32C(0x8), and 1-to-32Z(0x0) 

248: Input vars: (0x0), const(0xa), const(0xc), and 1-to-32Z(0x0) 

253: Input vars: 32-to-32C(0x7), const(0x80000028), const(0x8000002a), and 1-to-32Z(0x0) 

261: Input vars: 32-to-32C(0x3), const(0x80000004), const(0x80000006), and 1-to-32Z(0x0) 

