number of clusters = 1
Cluster 0 (276) : 
0: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

1: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

2: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

3: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

4: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

5: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

6: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

7: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

8: Input vars: 1-to-32Z(0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and (0x0) 

9: Input vars: (0x4), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

10: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

11: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

12: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

13: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

14: Input vars: (0x2), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

15: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

16: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

17: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

18: Input vars: (0x7), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

19: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

20: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32Z(0x0) 

21: Input vars: (0x5), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

22: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

23: Input vars: (0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

24: Input vars: (0x8), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

25: Input vars: (0x6), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

26: Input vars: (0x3), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), const(0x0), and 1-to-32S(0x0) 

