number of clusters = 909
Cluster 0 (10) : 
0: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

158: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

492: Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

1483: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

2231: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

2639: Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

2943: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

3494: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

3822: Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

4578: Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

Cluster 1 (5) : 
1: Input vars: const(0x80000000), const(0x40), (0x3), 1-to-32Z(0x1), and (0x0) 

228: Input vars: const(0x0), const(0x40), (0x3), 32-to-1(0x3), and (0x0) 

1220: Input vars: const(0x0), const(0x40), 32-to-32C(0x3), const(0x1), and (0x0) 

1778: Input vars: const(0x0), const(0x40), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

2941: Input vars: const(0x0), const(0x40), 32-to-32C(0x3), const(0x1), and (0x0) 

Cluster 2 (95) : 
2: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

6: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

317: Input vars: const(0x0), 32-to-32C(0xc), const(0x2), const(0x6), and (0x0) 

319: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

331: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

486: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

491: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

549: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

667: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

841: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

1024: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

1051: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

1088: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

1114: Input vars: const(0x0), const(0x2), (0xc), const(0x1), and (0x0) 

1215: Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

1219: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

1353: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

1354: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

1375: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

1603: Input vars: const(0x0), (0xc), const(0x80000002), const(0x80000002), and (0x0) 

1606: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

1614: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

1619: Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

1779: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

1799: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

1924: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

2003: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

2058: Input vars: const(0x0), (0xc), const(0x2), 16-to-32Z(0x4), and (0x0) 

2226: Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

2230: Input vars: const(0x0), 32-to-32C(0xc), const(0x2), const(0x6), and (0x0) 

2243: Input vars: const(0x0), const(0x2), (0xc), const(0x0), and (0x0) 

2303: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

2355: Input vars: const(0x0), const(0x2), 32-to-32C(0xc), 32-to-1(0x1), and (0x0) 

2357: Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

2359: Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

