number of clusters = 2
Cluster 0 (13) : 
0: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

1: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

3: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

4: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

7: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

10: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

11: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

12: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

14: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

16: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

17: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

19: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

21: Input vars: 16-to-32Z(0x2), and 8-to-32Z(0x0) 

Cluster 1 (9) : 
2: Input vars: (0x3), and 8-to-32S(0x0) 

5: Input vars: (0x3), and 8-to-32S(0x0) 

6: Input vars: (0x3), and 8-to-32S(0x0) 

8: Input vars: (0x3), and 8-to-32S(0x0) 

9: Input vars: (0x3), and 8-to-32S(0x0) 

13: Input vars: (0x3), and 8-to-32S(0x0) 

15: Input vars: (0x3), and 8-to-32S(0x0) 

18: Input vars: (0x3), and 8-to-32S(0x0) 

20: Input vars: (0x3), and 8-to-32S(0x0) 

