number of clusters = 18
Cluster 0 (54) : 
0: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

1: Input vars: 32-to-1(0x6), 1-to-32S(0x6), and 1-to-32Z(0x0) 

4: Input vars: (0x2), const(0xff800000), and 1-to-32S(0x0) 

10: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

14: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

22: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and (0x0) 

26: Input vars: 32-to-1(0x6), 1-to-32S(0x6), and 1-to-32Z(0x0) 

57: Input vars: 32-to-1(0x6), 1-to-32S(0x6), and 1-to-32Z(0x0) 

58: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and 1-to-32Z(0x0) 

59: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

63: Input vars: 32-to-1(0x1), const(0x0), and (0x0) 

71: Input vars: 32-to-1(0x0), 1-to-32S(0x0), and (0x0) 

77: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and (0x0) 

88: Input vars: 32-to-1(0x3), const(0x0), and (0x0) 

89: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and (0x0) 

99: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and 1-to-32Z(0x0) 

100: Input vars: 32-to-1(0x1), 1-to-32S(0x1), and (0x0) 

109: Input vars: 32-to-1(0x0), 1-to-32S(0x0), and (0x0) 

110: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

117: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

118: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and (0x0) 

128: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

141: Input vars: 32-to-1(0xc), 1-to-32S(0x3), and (0x0) 

159: Input vars: (0x2), const(0xff800000), and 1-to-32S(0x0) 

165: Input vars: 32-to-1(0x0), 1-to-32S(0x0), and (0x0) 

169: Input vars: 32-to-1(0x6), const(0x0), and (0x0) 

179: Input vars: 32-to-1(0x3), const(0x0), and (0x0) 

