number of clusters = 364
Cluster 0 (10) : 
Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), (0x0), const(0xd), and (0x0) 

Input vars: (0x0), const(0xc), 32-to-32C(0x0), const(0xd), and (0x0) 

Cluster 1 (4) : 
Input vars: const(0x80000000), const(0x40), (0x3), 1-to-32Z(0x1), and (0x0) 

Input vars: const(0x0), const(0x40), 32-to-32C(0x3), const(0x1), and (0x0) 

Input vars: const(0x0), const(0x40), 32-to-32C(0x3), 32-to-1(0x3), and (0x0) 

Input vars: const(0x0), const(0x40), 32-to-32C(0x3), const(0x1), and (0x0) 

Cluster 2 (84) : 
Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), 32-to-32C(0xc), const(0x2), const(0x6), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), const(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), (0x0), and (0x0) 

Input vars: const(0x0), const(0x2), (0xc), 32-to-1(0x3), and (0x0) 

Input vars: const(0x0), (0xc), const(0x2), const(0x80000001), and (0x0) 

